tHat	logLikelihood	chrom	boundary
6	-52565.0174126471	3R	5e+05
26	-44369.0054898653	3R	2500000
32	-37398.909406915	3R	3100000
42	-34694.3603357418	3R	4100000
57	-33227.6221814408	3R	5600000
64	-32258.0395370005	3R	6300000
71	-31582.0033386242	3R	7e+06
79	-30988.3614568327	3R	7800000
88	-30432.0167661854	3R	8700000
94	-29971.3060008687	3R	9300000
101	-29532.7946487889	3R	1e+07
109	-29110.210437076	3R	10800000
116	-28715.1844171794	3R	11500000
126	-28346.0408738589	3R	12500000
137	-28011.6027430385	3R	13600000
147	-27726.2107058896	3R	14600000
153	-27459.6470353475	3R	15200000
162	-27205.5532060751	3R	16100000
171	-26968.7084416446	3R	1.7e+07
182	-26736.0144906916	3R	18100000
190	-26513.0840058568	3R	18900000
199	-26294.3332767569	3R	19800000
211	-26095.3360668342	3R	2.1e+07
216	-25896.883513243	3R	21500000
224	-25722.0421681488	3R	22300000
239	-25549.9185893179	3R	23800000
253	-25384.4550359237	3R	25200000
261	-25235.1930430327	3R	2.6e+07
270	-25102.5106902606	3R	26900000
288	-24970.4876682296	3R	28700000
301	-24850.9904819306	3R	3e+07
316	-24733.1606087919	3R	31500000
321	-24616.343449796	3R	3.2e+07
